"","x"
"CH|CH",320
"CH|CU",87
"CH|FC",34
"CH|FF",763
"CH|FT",200
"CH|KC",54
"CH|SL",183
"CU|CH",94
"CU|CU",185
"CU|FC",54
"CU|FF",503
"CU|FT",109
"CU|null",1
"CU|SL",74
"FC|CH",33
"FC|CU",64
"FC|FC",171
"FC|FF",205
"FC|FT",96
"FC|KC",7
"FC|SL",25
"FF|CH",715
"FF|CU",462
"FF|FC",213
"FF|FF",4532
"FF|FS",49
"FF|FT",735
"FF|IN",1
"FF|KC",199
"FF|null",12
"FF|PO",4
"FF|SL",1114
"FS|FF",39
"FS|FS",17
"FS|FT",15
"FS|SL",17
"FT|CH",195
"FT|CU",120
"FT|FC",103
"FT|FF",793
"FT|FS",9
"FT|FT",853
"FT|IN",2
"FT|KC",159
"FT|null",3
"FT|PO",1
"FT|SL",229
"IN|FF",2
"IN|IN",53
"IN|KC",1
"IN|null",1
"IN|SL",1
"KC|CH",36
"KC|FC",12
"KC|FF",210
"KC|FT",139
"KC|IN",2
"KC|KC",276
"KC|SL",5
"null|FF",8
"null|FT",3
"null|IN",2
"null|KC",1
"null|null",23
"null|SL",5
"PO|FF",5
"PO|PO",1
"PO|SL",1
"SL|CH",156
"SL|CU",79
"SL|FC",21
"SL|FF",1133
"SL|FS",14
"SL|FT",238
"SL|KC",10
"SL|null",2
"SL|SL",644
